Track name,Artist name,Album,Playlist name,Type,ISRC
"Too Many Years","Kodak Black","Lil Big Pac","Favorite Songs","Favorite","USUYG1104623"
"Savage Mode","21 Savage","Savage Mode","Favorite Songs","Favorite","QZ45A1600042"
"Ready","Azad","A Very Emotional EP","Favorite Songs","Favorite","USUYG1119226"
"Feel Me","Tyga","Feel Me","Favorite Songs","Favorite","USUM71615276"
"A Galopar (Bis) - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336769"
"La Poesia Es un Arma Cargada de Futuro - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336768"
"Andaluces de Jaen - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336767"
"Un Español Habla de Su Tierra - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336766"
"Me Lo Decia Mi Abuelito - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336765"
"Villancico - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336764"
"Me Queda la Palabra - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336763"
"Me Llamaran, Nos Llamaran - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336762"
"La Mala Reputacion - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336761"
"Erase una Vez - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336760"
"Palabras para Julia - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336759"
"Proverbios y Cantares - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336758"
"Balada del Que Nunca Fue a Granada - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336757"
"España en Marcha - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336756"
"Como Tu - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336755"
"Coplas por la Muerte de Su Padre - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336754"
"A Galopar - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336753"
"Nocturno - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336752"
"Lo Que Puede el Dinero - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336751"
"Es Amarga la Verdad - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336750"
"Dejame en Paz Amor Tirano - En Vivo","Paco Ibanez","Paco Ibañez en el Olympia (En Vivo)","Favorite Songs","Favorite","QMDA61336749"
"Voy a Celebrarlo","Lágrimas De Sangre","Si uno no se rinde","Favorite Songs","Favorite","ES7311500103"
"Clika Nostra (feat. Santa Estilo)","Cartel De Santa","Viejo Marihuano","Favorite Songs","Favorite","MX3601600030"
"Bailar y Volar (feat. Millonario)","Cartel De Santa","Viejo Marihuano","Favorite Songs","Favorite","MX3601600028"
"Skepta Interlude","Drake","More Life","Favorite Songs","Favorite","USCM51700087"
"Cae la noche","Hard GZ","Cae la noche","Favorite Songs","Favorite","ESA011707782"
"Habibati Man Takoun حبيبتي من تكون نوال الزغبي تغني عبد الحليم حافظ (feat. Abdul Halim Hafez)","Nawal Al Zoghbi","Tarab","Favorite Songs","Favorite","TCABO1359812"
"Uptown Top Ranking - Remastered 2001","Althea And Donna","Uptown Top Ranking","Favorite Songs","Favorite","GBAAA0100135"
"Time Of Your Song","Matisyahu","Youth","Favorite Songs","Favorite","USSM10507171"
"Chronic Sunshine","Cosmo Pyke","Chronic Sunshine","Favorite Songs","Favorite","GBKPL1675682"
"Ain't No Rest For The Wicked - Original Version","Cage The Elephant","Cage The Elephant","Favorite Songs","Favorite","GBGLM0700133"
"Truth","Alex Ebert","Alexander","Favorite Songs","Favorite","USVR91165603"
"Magic Arrow","Timber Timbre","Timber Timbre","Favorite Songs","Favorite","CASA70919289"
"Daddy's Gone","Glasvegas","Glasvegas","Favorite Songs","Favorite","GBARL0800765"
"Out Of Time Man","Mick Harvey","Two of Diamonds","Favorite Songs","Favorite","GBAJH0700105"
"Car Radio","Twenty One Pilots","Vessel","Favorite Songs","Favorite","USAT21203515"
"La Soledad del Corredor de Fondo","Los Chikos del Maiz","La Soledad del Corredor de Fondo","Favorite Songs","Favorite","ES6081640303"
